material,count,total_length_mm,avg_length_mm,unique_sizes
1/2 inch OSB,3,3048.0,1016.0,2
2x6 blocking,6,1371.6,228.6,1
2x6 header,1,2362.2,2362.2,1
2x6 plate,2,4876.8,2438.4,1
2x6 stud,7,266.7,38.1,3
