material,count,total_length_mm,avg_length_mm,unique_sizes
1/2 inch OSB,3,1295.4,431.8,2
2x4 header,1,1143.0,1143.0,1
2x4 lumber,1,38.1,38.1,1
2x4 plate,2,2438.4,1219.2,1
2x4 stud,2,76.2,38.1,1
