material,count,total_length_mm,avg_length_mm,unique_sizes
1/2 inch OSB,3,1574.8,524.9,3
2x12 header,2,2286.0,1143.0,1
2x6 blocking,4,457.2,114.3,1
2x6 header,1,1143.0,1143.0,1
2x6 lumber,1,38.1,38.1,1
2x6 plate,3,3302.0,1100.7,2
2x6 stud,6,330.2,55.0,3
