material,count,total_length_mm,avg_length_mm,unique_sizes
1/2 inch OSB,3,1466.9,489.0,3
1x6 spacer,1,19.1,19.1,1
2x12 header,2,2286.0,1143.0,1
2x6 header,1,1143.0,1143.0,1
2x6 lumber,1,38.1,38.1,1
2x6 plate,3,3429.0,1143.0,2
2x6 stud,6,228.6,38.1,2
