material,count,total_length_mm,avg_length_mm,unique_sizes
2x12 header,2,2286.0,1143.0,1
2x6 header,1,1143.0,1143.0,1
2x6 lumber,1,38.1,38.1,1
2x6 plate,3,3352.8,1117.6,2
2x6 stud,6,431.8,72.0,3
