material,count,total_length_mm,avg_length_mm,unique_sizes
1/2 inch OSB,5,2743.2,548.6,5
2x12 header,2,2286.0,1143.0,1
2x6 header,1,1143.0,1143.0,1
2x6 lumber,5,1638.3,327.7,2
2x6 plate,2,2438.4,1219.2,1
2x6 stud,4,152.4,38.1,2
