material,count,total_length_mm,avg_length_mm,unique_sizes
1/2 inch OSB,3,1981.2,660.4,2
2x12 header,2,3352.8,1676.4,1
2x6 header,1,1676.4,1676.4,1
2x6 lumber,2,76.2,38.1,1
2x6 plate,3,5029.2,1676.4,2
2x6 stud,6,228.6,38.1,2
