material,count,total_length_mm,avg_length_mm,unique_sizes
1/2 inch OSB,4,2768.6,692.1,3
2x4 blocking,10,889.0,88.9,1
2x4 header,1,1143.0,1143.0,1
2x4 lumber,3,965.2,321.7,3
2x4 plate,2,2438.4,1219.2,1
2x4 stud,4,152.4,38.1,2
