material,count,total_length_mm,avg_length_mm,unique_sizes
2x4 lumber,2,177.8,88.9,1
2x8 joist,7,3848.1,549.7,2
2x8 lumber,1,38.1,38.1,1
3/4 inch OSB,5,9144.0,1828.8,2
3/4 inch plywood,5,9144.0,1828.8,2
insulation,3,1638.3,546.1,3
